"normalized_entity","categories","sub_categories","details_list"
"dulux","Asset","Real Estate","Sponsorship of goods (paint, cleaning supplies, storage) and refreshments for community graffiti removal clean up drive"
"dxs","Unknown","Other","Addition"
"eas","Gift","Other","EAS Leaders Yellow PinI have surrendered the gift to the Department of the Prime Minister and Cabinet."
"ebay","Asset,Unknown,Gift,Travel","Real Estate,Other,Entertainment,Other Travel","Two complimentary tickets for my wife Kylie Bradbury and myself to attend the Mid Winter Ball on Wednesday, 27 June 2012 in the Great Hall, Parliament House. The hospitality was provided by eBay and PayPal.,On 19 June my wife Bridget and I attended the MidWinter Ball as guests of Ebay and PayPal.,EBAY (Spouse),2 x tickets to the Midwinter Ball, guest of eBay,2 tickets from eBay to the Midwinter Ball (Self & Spouse),Two tickets to the 2018 Midwinter Ball (from eBay),Mid Winter Ball - EBay (ADDITI..."
"edd","Unknown","Other","Item 1 (a),Listed Companies held by Wilcrow Pty Limited,Item 7:- EDD (Turnbull & Partners Pty Ltd), GYLD (Turnbull & Partners Holdings Pty Ltd), HEDJ (Turnbull & Partners Holdings Pty Ltd), SPY (Turnbull & Partners Holdings Pty Ltd) - ADDITION"
"edv","Unknown","Other","Held jointly with spouse in SMSF: Australian,N/A"
"emb","Unknown","Other","Item 1 (a),Listed Companies held by Self"
"emmg","Asset","Shares","EMMG Betashares martin.currie emerg markets fund"
"eos","Asset","Shares","Sebastian JOYCE (son), Trust fund purchased shares in EOS (Electro Optic Systems Hldg Ltd)"
"escap","Gift","Other Gift","I have received an allowance to meet expenses incurred whilst preparing a report for ESCAP on a growth agenda for development in the Asia-Pacific Region."
"espn","Gift","Entertainment","SPOUSE: FINALISED EMPLOYMENT WITH ESPN (JULY 2012)"
"esr","Asset","Shares","SHARES"
"esss","Asset","Other Asset","Superannuation, Spouse"
"eta","Unknown","Other","N/A"
"etc","Asset","Other Asset","The usual saving and cheque accounts"
"ethi","Asset,Unknown","Shares,Other","ETHI Betashares Gib Sustainability Ldrs ETF,Index funds While these were held as of 11 April 2022, my spouse and I have since divested of these holdings."
"ethr","Asset","Shares","Family investment in the following index funds jointly held with my wife FAIR, ETHR, VAS, VHY and VESG."
"euroa","Asset","Real Estate","Spouse/partner; Farm/Veterinary Clinic/Residential"
"ewm","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"ewz","Unknown","Other","Item 1 (a),Listed Companies held by Self"
"ex20","Asset","Shares","EX20 Betashares Aus EX20 Port Diversifier ETF"
"ey","Gift","Hospitality","1 x dinner at EY Perth, courtesy of EY, estimated value $150."
"fair","Asset,Unknown","Shares,Other","Family investment in the following index funds jointly held with my wife FAIR, ETHR, VAS, VHY and VESG.,Index funds While these were held as of 11 April 2022, my spouse and I have since divested of these holdings."
"fang","Asset","Shares","Acquisition of FANG, NEA, APT shares."
"fb","Unknown","Other","Item 1 (a)"
"fbu","Unknown","Other","Deletion"
"ffa","Travel","Other Travel","12/08/2023 - 3 x Tickets to FIFA Womens World Cup (Australian vs France) Brisbane courtesy of FFA/FIFA"
"fiami","Asset","Shares","Shareholding in Public & Private Companies - Additions"
"fifa","Gift,Travel,Unknown","Entertainment,Other Travel,Other","26 July 2023 Matildas Flag and Pin, Matildas Scarf from,Tickets and Hospitality - 7 August 2023 - Australia v Denmark World Cup match courtesy of FIFA,Tickets and Hospitality - 19 August 2023 - Australia v Sweden World Cup match courtesy of FIFA,2 x FIFA Suite tickets for 2023 FIFA Women's World Cup Australia v Sweden match in Brisbane as a guest of FIFA,Guest of FIFA (Two tickets) to FIFA Women's World Cup match at Perth Rectangular Stadium on 22 July 2023. Value unknown.,Guest of FIFA (Two tic..."
"findi","Unknown","Other","Spouse"
"fm","Unknown","Other","Paula Lindsey (wife).. Pardore of stars in FM"
"fmg","Asset,Unknown","Real Estate,Other,Shares","onsite accommodation at the 'Cloudbreak' mine,- Pardore of stover - FMG,Purchase and sale of all shares - Owned by Paula Lindsey - wife,Paula Lindsey (Wife)-Parcerer Scale of All slower,My wife holds FMG shares as part of her remuneration package."
"fogs","Gift","Entertainment","Ticket for myself and one staff member at the Brisbane Broncos vs Titans NRL Match on Friday 17 May 2013 with hospitality provided by FOGs for which I am a patron"
"frsa","Unknown","Other","I received a Parker Pen from FRSA valued at $35"
"fsu","Unknown","Other","member"
"fte","Unknown","Other","Listed Companies held by Self"
"funds","Unknown","Other","Held jointly with spouse in SMSF"
"g20","Gift","Hospitality","Gift- Merchandise bag with water bottle and sanitiser from G20. Approx value $30"
"gaicd","Membership","Other Membership","Membership - Spouse/partner"
"gavi","Travel","Other Travel","Trip to Papua New Guinea with Save the Children, the Global Fund and Gavi. Sunday 15 January to Friday 20 January."
"gd","Asset,Unknown","Real Estate,Other,Shares","ADDITION: I am providing additional information that I own a 50% interest in GD & SB Pty Ltd which is the trustee for the Buchholz Dowling Unit Trust of which the sole asset is a vacant block of residential land in Dalby, Qld,Self,Shareholding in GD & SB Pty Ltd"
"ge","Liability,Asset","Other Liability,Shares,Loan,Credit","Storecard,Shares in GE (Spouse/partner),Home Loan, Line of Credit, Credit Card, Personal Loan with CBA and GE,Credit Cards (Self)"
"gem","Unknown","Other","Deletion"
"gesb","Asset","Other Asset","GESB FIRST NATIONAL PARLIAMENTARY CONTRIBUTORY SUPERANNUATION SCHEME,Self,SUPERANNUATION WITH LIFE INSURANCE"
"gic","Asset","Other Asset","UK bank accounts and investments of spouse/partner"
"gin","Gift","Hospitality","12 x bottles of GIN"
"gopio","Travel","Other Travel","Attendance at GOPIO Malaysia January 2011. My travel, accommodation and hospitality were sponsored by GOPIO."
"gpiix","Asset","Other Asset","Item 7:- GPIIX (self and spouse) - DELETION"
"gprix","Asset","Other Asset","Item 7:- GPRIX and Elbrook Offshore Fund (self and spouse) -ADDITION"
"gvk","Gift","Other Gift","On Friday 8 February 2013 I was given a cap and a pen by GVK."
"gwa","Unknown","Other","Held jointly with spouse in SMSF: Australian"
"gwr","Asset,Unknown","Shares,Other","The following ASX listed shares and Investment notes removed,Deletion"
"gxl","Asset","Shares","Shareholding in GXL"
"gyld","Unknown,Asset","Other,Other Asset","Item 7:- EDD (Turnbull & Partners Pty Ltd), GYLD (Turnbull & Partners Holdings Pty Ltd), HEDJ (Turnbull & Partners Holdings Pty Ltd), SPY (Turnbull & Partners Holdings Pty Ltd) - ADDITION,Item 7:- 3G Natural Resources Offshore Fund (self), GYLD (Wilcrow), DBJP (self) - ADDITION"
"hanif","Gift","Decorative","Handcrafted artwork in frame"
"hedj","Unknown","Other","Item 7:- EDD (Turnbull & Partners Pty Ltd), GYLD (Turnbull & Partners Holdings Pty Ltd), HEDJ (Turnbull & Partners Holdings Pty Ltd), SPY (Turnbull & Partners Holdings Pty Ltd) - ADDITION"
"hesta","Asset","Other Asset","Superannuation (Spouse),Delete HESTA assets from list of assets held by my spouse. Superannuation consolidated into First State Super,Superannuation,Superannuation Account,Superannuation & Life Insurance Policy,Managed funds"
"hjpn","Asset","Shares","HJPN Betashares Japan ETF- Currency"
"home","Asset","Real Estate","Home Nerang, family home"
"hota","Asset,Travel","Real Estate,Other Travel","Tickets and hospitality Deadly Hearts Performance, Home of the Arts Gold Coast (HOTA) - Guests of HOTA,Tickets x 2 and hospitality ""Sounds of Wanderlust"" guest of HOTA,Tickets x 2 - Sleeping Beauty Ballet guests of HOTA"
"house","Asset","Real Estate","BEACH HOUSE,INVESTMENT PROPERTY,Family Residence,Second Family Residence,Investment Property"
"hsbc","Liability,Asset","Credit,Other Asset,Mortgage","Credit Card,Transaction and savings account,Mortgage on residential property,Offset account,Add Savings HSBC,Savings various of spouse/partner,Credit Cards,Various Individual and Joint accounts with spouse"
"hsu","Unknown","Other","Unknown"
"hub24","Asset","Other Asset","Superannuation"
"humm","Liability","Loan","Loan with Humm for Home Improvements"
"huntr","Unknown","Other","+HUNTR - Running gear"
"hvn","Asset,Unknown","Shares,Other","Shareholding in HVN,Purchased - SIV, PTM, MVF, HVN,Deletion"
"hyatt","Membership","Other Membership","Platinum Membership of Hyatt Gold Passport"
"hyg","Unknown","Other","Item 1 (a),Listed Companies held by Self"
"iag","Asset","Shares","Shares in IAG,N/A,Shares in IAG, Lend Lease, NAB, Wesfarmers, Woodside and joint shareholding with spouse in CBA (public companies). Share in Elysium Pty Ltd (private company). Shares in IAG, Telstra and joint shareholding as above (public companies). Share in Elysium Pty Ltd (private company),Shareholdings in public and private companies,Shareholding in IAG,Shares in public company IAG (Spouse),Shares in public and private companies,Self,IAG Shares,IAG,Shares in IAG, Lend Lease, NAB, Wesfarmers..."
"ial","Unknown","Other","Unknown"
"iap","Unknown","Other","Held jointly with spouse in SMSF: Australian,IAP, Lynas Rare Earths LTD, NXT, RF1.ASX, WOT, KKC.ASX, AMY001TSSANDAL (liquated)"
"ibis","Travel","Other Travel","Accommodation donated by Ibis 8th April $96.47"
"ibm","Gift","Entertainment","IBM tickets to the Australia 5th Ashes Test Match on 3 January."
"icjp","Travel","Other Travel","2 nights Accomodation David Citadel hotel"
"ifl","Unknown","Other","IFL"
"ifpux","Asset","Other Asset","Item 7:-IFPUX (self & spouse) - DELETION"
"ig","Unknown","Other","Spouse - Managed Fund,Managed Fund. Spouse"
"igk","Asset","Shares","Shares in IGK"
"iluka","Unknown,Asset","Other,Trust","Long term holdings from deceased Estates (grandmother and mother),Held in trust for my daughter in my capacity as Executor and Trustee of my mother's Estate,N/A"
"ing","Asset,Liability,Unknown","Other Asset,Loan,Mortgage,Credit,Other,Other Liability","Savings,Loan from ING secured over home in Roseville,Mortgage,Savings (Spouse),Closed ING savings account,SUPERANNUATION,Savings Account for Self,Savings account (Spouse),Savings account,Savings Account,SAVINGS ACCOUNT (Spouse),Personal saving,Isabella Savings Account,Harvey Savings Account,Georgia Savings Account,Self: Joint savings account,ING Integra Superannuation fund; Holden Astra,Saving account,Saving account - Spouse,ING, Savings a/c with ING. Cheque. Super,Mortgages,Mortgage Offset Acco..."
"inpex","Travel,Unknown","Other Travel,Other","Certain costs in relation to an INPEX operations tour - Perth, Broome and Darwin, October 2018. INPEX paid for some ground and related transport, and some meal costs.,1 x Glass cube with vile of condensate, approx. value $16 received on Thursday 4th April 2019.,On Wednesday 4 November I participated in a tour via boat of Ichthys LNG facility. This tour was provided by INPEX."
"iol","Asset","Shares","Shares held by spouse"
"ioof","Asset","Shares,Other Asset","IOOF Employer Superfund, including various direct investments and term deposits,Shares in IOOF,Deletion of IOOF shares,Superannuation account established with IOOF.,Superannuation - Spouse/partner"
"ipa","Unknown","Other","N/A"
"ipac","Travel","Other Travel","Return flights to Washington D.C. to attend IPAC (Inter-Parliamentary Alliance on China) conference in September 2022 (reimbursement received Jan 2023), courtesy IPAC.,Inter-Parliamentary Alliance on China (IPAC) Conference, Sept 2022, 3 nights accommodation for conference in Washington D.C., courtesy of IPAC."
"iph","Unknown","Other","Addition"
"ipt","Asset,Unknown","Shares,Other","Attachment # 1 Shareholdings in public and private companies,Shares (Attachment #1),Attachment #1"
"issac","Asset","Shares","Evolution and Oceanagold Shares"
"isuzu","Gift","Entertainment","2 x tickets to 2024 A-League Final from Isuzu"
"ivv","Unknown","Other","IVV - self and spouse"
"jag","Unknown","Other","N/A"
"jean","Unknown","Other","1 x ""Billy Graham – An Extraordinary Journey"" DVD Given to me by Jean at a street stall on 26 June 2021."
"jng","Asset","Other Asset","Savings"
"johor","Asset","Real Estate","Family home"
"kerry","Travel,Asset","Other Travel,Other Asset,Real Estate","Flights Perth - Broome - Sydney Accommodation Broome WA 14-17 August,Flights Canberra – Broome- Sydney
13 August and 16 August 2015
1 x Corporate Ticket to Broome Cup Racing Carnival
15 August 2015,Accommodation Broome
13-15 August 2015"
"kew","Asset","Shares,Real Estate","Investment,Residential investment"
"kimba","Unknown","Other","Agricultural Land"
"kmart","Unknown","Other","Gift of Christmas Decorations for Kmart Wishing Tree from Kmart valued at $677 on 7 November."
"kpg","Asset","Shares","Sale of shares"
"kpmg","Asset","Other Asset","Guest of KPMG - Couta Boat Classic at Sorrento, Monday 5 January. Hospitality for self and spouse.,KPMG 2016 Couta Boat Classic Event with guest on 4 January 2016.,KPMG Superannuation"
"lag","Gift","Entertainment","On Saturday 4 November 2017 I received tickets from LAG to attend Derby Day in Melbourne. The tickets included hospitality."
"lc","Membership","Other Membership","Self - L.C. and S.A. Buchholz."
"lexus","Asset","Other Asset","Spring Racing Carnival Tickets:  3 and 6 November 2018"
"lgaq","Gift","Hospitality","1 x bottle of wine and coffee keep cup – received from LGAQ on Monday 21st June 21 – valued at $30"
"lhpp","Membership","Other Membership","with LHPP (property development)"
"lion","Gift,Unknown,Asset,Travel","Hospitality,Other,Other Asset,Entertainment,Other Travel,Real Estate","Accepted hospitality of Lion on Cup Day, Tuesday 6th November at their marquee at Flemington Race Course Melbourne,Guest of Lion, Press Club Ball, 19 June 2013,Spring Racing - Carnival Tickets - 3rd Nov,Seasons Greetings food tray. Approximate value $75, Thursday 17 December 2015.,Self and guest attendance at 2017 Melbourne Cup. Guests of Lion and Tabcorp,Spring Racing Carnival tickets - 1st November,State of Origin Game 3 Match with Lion (x2 tickets in corporate box) on 11 July 2018 in Brisbane..."
"lions","Unknown","Other","Member"
"lll","Asset","Other Asset","E-C TRUSS & sons has a savings account,Savings account"
"lltk","Membership,Asset","Other Membership,Trust","Hold Eight H Trust,LLTK, Hold Eight H Trust - DELETED"
"lnp","Travel,Membership","Other Travel,Other Membership","Charter travel in Far North Queensland as arranged by,King Air Supplied by LNP
18-8-10 Biloela to Mackay
20-8-10 Gladstone to Toowoomba,LNP, various clubs, groups & organisations around electorate of Brisbane which do not pose a conflict of interest, patron of New Farm Neighbourhood Centre, run by Communify, National Retail Association,Self: LNP,Member of the LNP,Self,Spouse/partner,Dependent children,Spouse - Membership of LNP,Member"
"loans","Asset","Other Asset","General Savings Accounts"
"lorne","Asset,Gift","Real Estate,Entertainment","Self; Holiday House (occasional rental),Tickets to Falls Festival, Lorne for self and guest on Saturday 28 December 2019."
"lqd","Unknown","Other","Item 1 (a),Listed Companies held by Self"
"lucrf","Asset","Other Asset","Superannuation (Spouse),Superannuation and Cash deposit(s) for self"
"lyc","Unknown,Asset","Other,Shares","Item 1 (a),In preparation for joining the Executive, I have sold my interests in the following shares: AOU, C6C and LYC. I therefore understand that all remaining shares held in my name are aggregate economy-wide ETFs.,N/A"
"made","Unknown","Other","Lucy Hughes Turnbull AO ceased to be a patron of the Museum of Australian Democracy at Eureka (MADE)"
"mbf","Unknown,Asset","Other,Shares","Life Insurance (Self),Life Insurance (Spouse)"
"mc","Asset","Shares","Shares (Dependent Children)"
"mcc","Gift","Entertainment","Liberal Party of Australia (Victorian Division); Member of various local community groups and organisations within the electorate of Casey which do not pose a conflict of interest,Carlton Football Club, MCC Member, RACV, Liberal Party of Australia (Victorian Division), Pontiac Car Club of Australia, Union-University and Schools Club, Sydney, Melbourne University, Liberal Club (life member), Member of various local community groups and organisations within the electorate of Casey such as; Croydon..."
"mcg","Unknown","Other","Guest at MCG corporate box on two occasions."
"mcri","Unknown","Other","2 glass vases - MCRI Farewell Gift for 25 years service - August 28 2019"
"me","Asset","Other Asset","Savings Account,Savings account"
"mea","Asset","Shares","Sale of shares"
"mech","Asset","Other Asset","Spouse: Multipurpose"
"mecu","Asset","Other Asset","Multipurpose,Savings"
"meta","Asset","Shares","Meta shares,For clarity update made on 3 June regarding the purchase of Meta shares for my spouse"
"mfc","Unknown","Other","N/A"
"mffo","Unknown,Asset","Other,Other Asset","Listed Companies held by Self,Listed Companies held by Pokana Super Fund"
"mgc","Asset","Shares","Paula Lindsey Sale of shares"
"mgf","Unknown","Other","MGF, MGFO, MGOC, MAET, PIM4432AU"
"mgs","Unknown","Other","Speakers Honorarium for MGS Community Forum event - donated directly by MGS to Stonnington Toy Library"
"miami","Asset","Real Estate","Residence"
"mich","Unknown","Other","MICH Magellan Infra Fund Curr Hedged ETF"
"micsx","Asset","Other Asset","Item 7:- MICSX (self and spouse), VGK (Wilcrow Pty Ltd) - DELETION"
"mio","Asset","Other Asset","Retirement/ Superannuation Fund, USA with MIO"
"ml","Asset,Unknown","Shares,Other","Shares (Spouse),Beneficial interest (Dependent Children)"
"mlb","Asset,Unknown","Shares,Other,Other Asset","Shares listed as at July 19, 2010,Spouse shares listed as at July 19, 2010,Listed Companies held by Spouse,Listed Companies held by Wilcrow Pty Limited,Item 1. MLB (spouse and Wilcrow Pty Ltd) DELETION,Superannuation Fund"
"mlc","Asset,Unknown","Other Asset,Other","Investment Fund,Investment & Death Policy Savings,Superannuation fund,SUPERANNUATION,Superannuation - MLC,Superannuation (MLC),Managed Fund (MLC) for Spouse (Laura Chalmers),Income Protection Insurance policy,Managed Fund x 2,Managed Fund (Spouse),Superannuation,Life Assurance within Super,Superannuation (spouse),Life Assurance within Super (spouse),Managed Fund,Managed Super Fund,Managed Super Fund - Spouse/partner,MLC Cash Fund,Vanguard International Shares Index Fund,MLC Wholesale Australian ..."
"mm","Unknown,Asset,Membership","Other,Shares,Other Membership","see attached list,Macquarie Cash Management Trust, Wealthwrap Bank, Aviva Investors High Growth Share Fund, Cfs Ws 452 Australian Share Fund, Goldman Sachs Jbwere Aust'n Infrastructure Wsale, Gvi Global Industrial Share Fund, Perpetual Wholesale Property Securities, Australia & New Zealand Banking Group Limited, Australian Foundation InvestmentCompany Limited, Bhp Billiton Limited, Commonwealth Bank of Australia, Global Mining Investments Limited, Macquarie Group Limited, Qbe Insurance Group Lim..."
"mms","Asset","Shares","Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS"
"mnd","Unknown","Other","buert yeaper @ MND Bibreeze Lund M C G 84 Tichest to March"
"moana","Asset","Real Estate","20% interest - holiday home,20% Interest - Holiday home"
"moy","Asset","Shares","Shareholding in MOY"
"mpl","Asset","Other Asset","Superannuation Fund"
"mqg","Asset","Shares","Shareholding in MQG,Purchase of shares in family trust,Purchase of shares"
"mrc","Unknown","Other","N/A"
"mrma","Unknown","Other","Unknown"
"msbs","Asset","Other Asset","Life Insurance with ALI Group (including trauma cover) (joint with spouse), Military Super (MSBS), Australian Super Fund"
"mtc","Gift","Entertainment","MTC tickets x2 used by staff on 20.1.2023"
"mumm","Asset","Other Asset","Spring Racing - Carnival Tickets - 3rd Nov,Spring Racing Carnival tickets - 1st November,2012 Melbourne Cup Spring Racing Carnival Derby Day - Complimentary tickets to the James Boag and Mumm Marquees. I was accompanied by my wife, Estee."
"mvf","Unknown","Other","Purchased - SIV, PTM, MVF, HVN"
"mxupa","Unknown,Asset","Other,Other Asset","Item 1 (a),Listed Companies held by Wilcrow Pty Limited,Managed Funds and Fixed Interest Securities"
"myer","Travel,Unknown,Asset","Other Travel,Other,Shares","Daughters, Frances and Bridget, accepted the hospitality of Myer to attend their Autumn/Winter Fashion Launch in Melbourne,Spouse,487 SHARES,Spouse/partner holds shares in Myer,Spouse has shares in Myer,Spouse/partner"
"myjet","Travel","Other Travel","Flight provided by MyJet from Ballarat to Bendigo Tuesday 16 April 2013,Flight provided by MyJet from Bendigo to Canberra Wednesday 17 April 2013"
"myola","Asset","Shares","Investment (Joint with spouse),Investment (Joint with spouse) (Spouse/partner)"
"myr","Asset","Shares","Sale of shares"
"mys","Unknown","Other","N/A,Spouse/partner"
"n aqc","Unknown","Other","N/A"
"na","Asset,Gift,Unknown,Income,Membership,Liability,Travel","Real Estate,Other Gift,Other,Hospitality,Other Income,Other Asset,Other Membership,Shares,Mortgage,Entertainment,Professional,Electronics,Decorative,Salary,Other Travel,Other Liability,Trust,Air Travel,Loan,Credit","FORESTVILLE, NSW - RESIDENCE,ENTRY TO THE PORT MACQUARIE IRONMAN 2010,NIL KNOWN,bottle of St Henri Shiraz - value unknown,Sold personal racing bicycle for $5,500 and amount donated to Grantham Flood Recovery Fund,A motor vehicle for use by my daughter Bridget.,I have received a small payment as an author of published works that have attracted a copyright fee.,A painting that will hang in my Sydney office,A book on the history of the Lorne Surf Lifesaving Club which is in the reception area of my..."
"nab","Liability,Asset,Travel","Mortgage,Other Asset,Shares,Other Liability,Loan,Other Travel,Credit","Flexi Plus Mortgage,Savings Account,ITEM 11 2x AFL GRANDFINAL TICKETS,Four tickets for myself and three staff to attend the National Press Club Address delivered by the Prime Minister on Thursday 11 July 2013 courtesy of NAB,Savings / cheque Account,Term Deposit,Visa,mortgage,Mortgage - Cessnock (Residence). Mortgage - Cessnock (Business Private). Mortgage - Nulkaba-land. Spouse: Mortgages as above. Dependent Children: Car Loans,NAB Savings Account (Husband),Mortgage on home,Savings a/c (held in..."
"nag","Asset","Other Asset","ISAVER ACCOUNT - Self"
"nato","Travel","Other Travel","Economy return flights to Brussels. Accommodation for three days,Part of a delegation to NATO headquarters in Brussels from 24-28 March, 2012. Included flights, accommodation, hospitality and transfers.,13: NATO/SHAPE Visit 26-28 March 2012 to support the framework of NATO'S widening cooperation with Partners Across the Globe, The Public Diplomacy Division and delegation members taking part in an information briefing program. Sponsored by NATO HQ including payment for economy flights; accomodati..."
"nba","Asset","Shares","Shares held by spouse"
"nbl","Unknown","Other","Globall Basketball and personalised ball from NBL"
"nea","Asset","Shares","Acquisition of FANG, NEA, APT shares."
"nexus","Travel","Other Travel","1 Ticket - PM's address to the Press Club - Guest of Nexus - Value $120"
"nfl","Gift","Entertainment","I attended the NRL Grand Final in Sydney with my daughter, Frances, as a guest of the NFL."
"nga","Unknown","Other","N/A"
"nhc","Unknown","Other","NHC"
"nib","Asset,Unknown","Shares,Other","NIB shareholding,Self,NIB,NIB Shares sold on 29/7/19,Spouse/partner"
"nic","Unknown","Other","Beneficial interest,Beneficial interest (Spouse)"
"nida","Gift","Entertainment","30 October 2023 Splendour 2 tickets"
"nil","Membership","Other Membership","Self"
"nine","Travel,Gift","Other Travel,Entertainment","My wife and I were guests of Nine at the Men's Singles semi-final 2020 Australia Open.,My wife and I were guests of Nine at the Australian Open Men's Final 2022,Tickets and hospitality for self and spouse to The Logies as guests of Nine on Sunday 19 June 2022,Ticket to Australian Open Night Session (Day 14),Ticket with hospitality - Australian Open 22/1/2025"
"nly","Unknown","Other","Item 1 (a),Listed Companies held by Self,Listed Companies held by Wilcrow Pty Limited,Item 1:- NLY (MB Turnbull Pty Ltd) - ADDITION"
"north","Asset","Other Asset","Superannuation Fund (Self) & Pension Plan,Managed Fund"
"npc","Unknown,Membership","Other,Professional","N/A,Patron various community based organisations; Councillor - Cessnock City Council"
"nrl","Gift,Asset,Travel","Entertainment,Shares,Other Travel","I attended the NRL Grand Final as a guest of the NRL accompanied by my daughter, Frances.,Tickets from the NRL to the Grand Final at the ANZ Stadium.,Was a guest of the NRL at the Grand Final.,Two NRL 2013 Gold Passes for myself and Melissa Babbage,Three NRL 2013 Season Passes for my children,NRL TICKETS,Three tickets from the NRL to attend official dinner and game for the State of Origin (Game 2) in Sydney (13 June 2012),NRL Suit Pack from a dinner hosted by the NRL at Parliament House on 25 Ju..."
"nrma","Gift,Unknown,Asset","Hospitality,Entertainment,Other,Shares,Electronics","Was a guest of NRMA at the Australia v India Cricket Test at the SCG.,Received tickets to Prince as a guest of the NRMA.,Tickets to the Justin Bieber concert which was held in Sydney on 28 April, 2011. Mr Chris Siorokos from NRMA provided the tickets.,N/A,Guest of the NRMA at the Ashes Cricket Test Series on the 5th January 2014,Concert x 2 tickets,Shareholding in NRMA,Guests of the NRMA at the Australia -v- England Ashes Test match in Sydney, which included tickets and hospitality in the form o..."
"nsw","Unknown,Asset,Membership","Other,Other Asset,Real Estate,Other Membership,Professional,Shares","Suzanne Laundy,The Laundy Family Super Fund,Residential,Residential (with spouse),Membership,Honorary Membership of the South Metropolitan Regional Scout Council, NSW,Honorary Membership,Spouse/partner, Residential,Holiday House / Investment,Holiday House / Investment of spouse/partner,Estate Asset,Home and Farm,Residential investment,Residence (Spouse),Investment/Residence (Spouse),Deletion of House, Investment (Wilcrow Pty Limited),Patron various community based organisations; Councillor - Ces..."
"nt","Membership","Other Membership","I would like to declare that I have renewed my membership with ABC Friends SA/NT for the 2021/2022 financial year."
"nteu","Unknown","Other","N/A"
"nxt","Unknown","Other","Held jointly with spouse in SMSF: Australian,Self and Spouse DRR, CSL, NXT"
"oecd","Travel","Other Travel","From OECD: Stipend for travel to Paris to make a presentation at the OECD-NBER Conference on Productivity Growth and Innovation in the Long Run"
"okuno","Travel","Other Travel","Gifts during North Asia visit (Minister for Water Resources CHEN Lei, Minister Administration of Quality Supervision, Inspection and Quarantine ZHI Shuping, Minister for Agriculture HAN Changfu, Korean Minister for Agriculture, LEE Dong Phil, Head of JA Zenchu – OKUNO, CHOE, Minister for Agriculture MORIYAMA, Hiroshi)"
"optus","Travel,Gift,Asset","Other Travel,Entertainment,Shares","On 7 July 2012 I attended Disney on Ice in Melbourne with my wife and children as a guest.,I attended the 2013 Australian Open on January 27, 2013 for the Men's Final evening tennis session and hospitality with my wife, Kate, as guests of Optus.,Provided two complimentary tickets to attend the Australian Open tennis men's semi-final on the evening of Friday 25 January, 2013.,23 March 2013 my wife and I received tickets from Optus to the Western Sydney Wanderers game at Parramatta Stadium.,Attend..."
"ore","Unknown","Other","Listed Companies held by Self"
"orica","Asset","Shares","Purchase for self & spouse ORICA shares 18/12/14"
"orl","Gift","Hospitality","Guest of ORL State of Origin naming dinner 19 May"
"osh","Asset","Shares","Shareholding in OSH"
"oxfam","Membership","Other Membership","Self"
"p 500","Asset,Unknown","Shares,Other","Shares,N/A"
"p2p","Asset","Shares","All escrowed shares in my name or the names of my wife and children, both investment companies and SMSF are being placed in a structure that is independent of me where I have no control of investment decisions and where they are externally professionally managed (blinded as Trust structures)."
"pall","Unknown","Other","Listed Companies held by Self"
"paris","Asset","Real Estate","Accepted three nights' accommodation at the Hotel Orsay, Paris."
"pdi","Unknown","Other","Item 1 (a),Listed Companies held by Wilcrow Pty Limited,Item 7:- PDI (Turnbull & Partners Holdings Pty Ltd) VHT (Self) -ADDITION"
"penna","Asset","Real Estate","Residential"
"perth","Gift","Hospitality","ADDITION: Lunch Nobu Restaurant Guest of Crown Resort, Perth, 31 March 2015"
"pff","Unknown","Other","Item 1 (a),Listed Companies held by Self,Listed Companies held by Wilcrow Pty Limited"
"pfxf","Unknown","Other","Listed Companies held by Wilcrow Pty Limited"
"pga","Gift","Hospitality","31st Hall of Fame Induction Sport Dinner in Melbourne Guest of PGA (Wednesday 21 October 2015)"
"plum","Asset","Other Asset","Superannuation Account"
"pon","Asset","Shares","Shares held by spouse"
"prr","Asset,Unknown","Shares,Other","Spouse shares listed as at July 19, 2010,Listed Companies held by Spouse"
"prro","Unknown","Other","Listed Companies held by Spouse"
"pss","Asset","Other Asset","SUPERANNUATION - PSS,PSS Superannuation,SUPERANNUATION - PSS, AUSTRALIAN SUPER, TOWER,Superannuation,Superannuation accounts with Australian Super and PSS (Spouse/partner)"
"pssap","Asset","Other Asset","Superannuation"
"ptm","Unknown","Other","Purchased - SIV, PTM, MVF, HVN,Deletion"
"pwc","Asset,Unknown","Other Asset,Other","Hospitality - 2 x guest tickets for PwC Trackside Enclosure - 29 October 2022 - Melbourne Spring Racing Carnival; Hospitality - 2 x guest tickets for Melbourne Racing Club - Peninsula Cup - Mornington Racecourse - 30 October 2022,Partner / Spouse income: retired partner pension"
"qan","Asset,Unknown","Shares,Other","Shareholding in QAN,DISPOSED,Purchase of shares in family trust"
"qatar","Travel","Other Travel","Upgrade to business class on Qatar flight Athens - Doha,Free of charge upgrade to a suite at the St Regis Hotel, Doha, Qatar."
"qbank","Asset","Other Asset","Savings account,Savings Accounts"
"qbe","Unknown,Asset","Other,Shares","N/A,Shares in public and private companies,Shareholding in QBE,QBE,Joint,Shareholdings in QBE,Striker SMSF holds shares in – BKL, CWN, QBE, SEK"
"qbyan","Liability","Mortgage","Mortgages - QBYan, Ballina, Nowra"
