Entity Name,Classification,Confidence,Split Entities,Explanation
Australian Rugby League Commission and National Rugby League,MULTIPLE,HIGH,"Australian Rugby League Commission, National Rugby League",These are two distinct organizations within Australian Rugby League.
"Parramatta Eels, Spirits and Cocktails Australia, Western Sydney Wanderers",MULTIPLE,HIGH,"Parramatta Eels, Spirits and Cocktails Australia, Western Sydney Wanderers",These are three separate sporting and/or entertainment organizations.
FIFA and Football Australia,MULTIPLE,HIGH,"FIFA, Football Australia",These are two separate governing bodies for football.
"Marcus O'Reilly, Aviva Tuffield, Paddy O'Reilly and Jol Blazey",MULTIPLE,HIGH,"Marcus O'Reilly, Aviva Tuffield, Paddy O'Reilly, Jol Blazey",These are four individuals.
Emergency Services and State Superannuation,MULTIPLE,HIGH,"Emergency Services, State Superannuation",These refer to two distinct but related entities: a service and a superannuation scheme.
Dutton Holdings (Qld) P/L and Bald Hills Child Care P/L,MULTIPLE,HIGH,"Dutton Holdings (Qld) P/L, Bald Hills Child Care P/L",These are two separate companies.
ARLC and NRL,MULTIPLE,HIGH,"ARLC, NRL",These are two distinct organizations within Australian Rugby League.
Ferris Jin and Jamie Mao Juemin,MULTIPLE,HIGH,"Ferris Jin, Jamie Mao Juemin",These are two individuals.
QANTAS AND VIRGIN LOUNGE MEMBERSHIP,MULTIPLE,HIGH,"QANTAS, VIRGIN LOUNGE",These are memberships in two different airline lounges.
Minister Pato/Wapenamanda Community,MULTIPLE,HIGH,"Minister Pato, Wapenamanda Community",Clearly identifies a Minister and a community group as separate givers.
Qantas/Emirates,MULTIPLE,HIGH,"Qantas, Emirates","These are two distinct, well-known international airlines."
Homeside/NAB,MULTIPLE,HIGH,"Homeside, NAB",Homeside and NAB (National Australia Bank) are distinct entities.
Commonwealth Bank of Australia/Colonial First State,MULTIPLE,HIGH,"Commonwealth Bank of Australia, Colonial First State",These are two separate major financial institutions in Australia.
Emirates/Qantas,MULTIPLE,HIGH,"Emirates, Qantas","These are two distinct, well-known international airlines."
Sydney/Melbourne,MULTIPLE,HIGH,"Sydney, Melbourne",These are two distinct Australian cities.
Melbourne/Sydney,MULTIPLE,HIGH,"Melbourne, Sydney",These are two distinct Australian cities.
Westpac/Bankers' Trust,MULTIPLE,HIGH,"Westpac, Bankers' Trust",These are two separate financial institutions.
Pepe Family Trust/Pasin Nominees,MULTIPLE,HIGH,"Pepe Family Trust, Pasin Nominees","These are likely two separate entities, a trust and a nominee company."
Asgard/St George,MULTIPLE,HIGH,"Asgard, St George",These are two different financial institutions.
NAB / ANZ / Macquarie Bank,MULTIPLE,HIGH,"NAB, ANZ, Macquarie Bank",These are three distinct major Australian banks.
Astra/Foxtel,MULTIPLE,HIGH,"Astra, Foxtel","Astra and Foxtel are distinct companies, though there's a business relationship implied."
"Mr Arne Duncan, US Secretary of Education",MULTIPLE,HIGH,"Mr Arne Duncan, US Secretary of Education",This is clearly two separate entities: a person and a position within a government.
"Sustainable World Technologies, Adelaide, South Australia",MULTIPLE,HIGH,"Sustainable World Technologies, Adelaide, South Australia",This lists a company and its location (city and state).
"Libby Lyons, CiticPacific Mining",MULTIPLE,HIGH,"Libby Lyons, CiticPacific Mining",This is a person and a company.
"Tim Woodall, Miro Advisors",MULTIPLE,HIGH,"Tim Woodall, Miro Advisors",This is a person and a company.
"Kensington, WA",MULTIPLE,HIGH,"Kensington, WA",This is a suburb and a state abbreviation.
"Maylands, WA",MULTIPLE,HIGH,"Maylands, WA",This is a suburb and a state abbreviation.
"North Perth, WA",MULTIPLE,HIGH,"North Perth, WA",This is a suburb and a state abbreviation.
"Woodlands, WA",MULTIPLE,HIGH,"Woodlands, WA",This is a suburb and a state abbreviation.
"Inglewood, WA",MULTIPLE,HIGH,"Inglewood, WA",This is a suburb and a state abbreviation.
"Kalgoorlie, WA",MULTIPLE,HIGH,"Kalgoorlie, WA",This is a city and a state abbreviation.
"Pollard Street, Geraldton WA",MULTIPLE,HIGH,"Pollard Street, Geraldton, WA",This is a street and a city and state.
"Pollard St, Geraldton WA",MULTIPLE,HIGH,"Pollard St, Geraldton, WA",This is a street and a city and state.
"Martha St, Guildford WA",MULTIPLE,HIGH,"Martha St, Guildford, WA",This is a street and a city and state.
"Victoria Park, WA",MULTIPLE,HIGH,"Victoria Park, WA",This is a suburb and a state abbreviation.
"Forrest, Canberra",MULTIPLE,HIGH,"Forrest, Canberra",This is a suburb and a city.
"V8 Supercars, Bathurst",MULTIPLE,HIGH,"V8 Supercars, Bathurst",This is a racing series and a city.
"ROTARY, LIONS, CLEAN OCEAN FOUNDATION",MULTIPLE,HIGH,"ROTARY, LIONS, CLEAN OCEAN FOUNDATION",These are three separate organizations.
"Wang Jin-pyng, President of the Legislative Yuan, Taiwan.",MULTIPLE,HIGH,"Wang Jin-pyng, President of the Legislative Yuan, Taiwan","This is a person, their title, and their country/region."
"ANZ, Commonwealth, Westpac",MULTIPLE,HIGH,"ANZ, Commonwealth Bank, Westpac",These are three separate Australian banks.
"Executive Director of Climate Change Research Strategy for Primary Industries, Michael Robinson.",MULTIPLE,HIGH,"Executive Director of Climate Change Research Strategy for Primary Industries, Michael Robinson",This is a job title and a person's name.
"Telstra CEO, David Thodey",MULTIPLE,HIGH,"Telstra CEO, David Thodey",This is a job title and a person's name.
"NATIONAL AUSTRALIA BANK, AMERICAN EXPRESS",MULTIPLE,HIGH,"NATIONAL AUSTRALIA BANK, AMERICAN EXPRESS",These are two separate financial institutions.
"COLONIAL FIRST STATE, AMP LIFE LTD",MULTIPLE,HIGH,"COLONIAL FIRST STATE, AMP LIFE LTD",These are two separate financial institutions.
"ANTHONY MUNDINE, NRL",MULTIPLE,HIGH,"ANTHONY MUNDINE, NRL",This is a person and the National Rugby League.
"AUSTRALIAN LABOR PARTY, NSW BAR ASSOCIATION, ST. GEORGE DISTANCE RUGBY LEAGUE FOOTBALL CLUB LTD, INDEPENDANT EDUCATION UNION",MULTIPLE,HIGH,"AUSTRALIAN LABOR PARTY, NSW BAR ASSOCIATION, ST. GEORGE DISTANCE RUGBY LEAGUE FOOTBALL CLUB LTD, INDEPENDANT EDUCATION UNION",These are four separate organizations.
"St George District Rugby League Football Club Limited, St George Leagues Club Limited.",MULTIPLE,HIGH,"St George District Rugby League Football Club Limited, St George Leagues Club Limited","These are two separate organizations, likely related but distinct."
"The St George Leagues Club Limited, The St George District Rugby League Limited.",MULTIPLE,HIGH,"The St George Leagues Club Limited, The St George District Rugby League Limited","These are two separate organizations, likely related but distinct."
"AMP, MLC, CommSuper",MULTIPLE,HIGH,"AMP, MLC, CommSuper",These are three separate Australian financial institutions related to superannuation.
"Millennium Forum, Liberal Party of Australia, NSW Division",MULTIPLE,HIGH,"Millennium Forum, Liberal Party of Australia, NSW Division","These are three separate entities: a forum, a political party, and its state division."
"Royal Motor Yacht Club, Woolooware",MULTIPLE,HIGH,"Royal Motor Yacht Club, Woolooware",This is a yacht club and its location.
"South Metropolitan Regional Scout Council, NSW",MULTIPLE,HIGH,"South Metropolitan Regional Scout Council, NSW",This is a scout council and its state.
"Suncorp, Wide Bay Australia, Westpac Bundaberg, Qantas Staff Credit Union",MULTIPLE,HIGH,"Suncorp, Wide Bay Australia, Westpac Bundaberg, Qantas Staff Credit Union",These are four separate financial institutions.
"John Patrick Motors, Port Macquarie",MULTIPLE,HIGH,"John Patrick Motors, Port Macquarie",This is a car dealership and its location.
"ANZ, Citibank",MULTIPLE,HIGH,"ANZ, Citibank",These are two separate banks.
"HOUSE, PT NEILL SA",MULTIPLE,HIGH,"HOUSE, PT NEILL, SA","This describes a property type and location (PT Neill, South Australia)."
"STRATA UNIT, MAULANDS SA",MULTIPLE,HIGH,"STRATA UNIT, MAULANDS, SA","This describes a property type and location (Maulands, South Australia)."
"HOUSE, JAMESTOWN SA",MULTIPLE,HIGH,"HOUSE, JAMESTOWN, SA","This describes a property type and location (Jamestown, South Australia)."
"Peppers Pier Resort, Park Hyatt",MULTIPLE,HIGH,"Peppers Pier Resort, Park Hyatt",These are two separate hotel brands.
"Intercontinental Hotel, Sydney",MULTIPLE,HIGH,"Intercontinental Hotel, Sydney",This is a hotel and its city.
"Madinat Jumeirah Hotel, Dubai, Intercontinental Hotel Sydney",MULTIPLE,HIGH,"Madinat Jumeirah Hotel, Dubai, Intercontinental Hotel Sydney",These are two hotels and a city.
"The Lenna of Hobart hotel, Hobart, Park Hyatt Melbourne",MULTIPLE,HIGH,"The Lenna of Hobart hotel, Hobart, Park Hyatt Melbourne",These are two hotels and two cities.
"Intercontinental Hotel, Park Hyatt Hotel, Stamford Hotel, Shangri-La Hotel",MULTIPLE,HIGH,"Intercontinental Hotel, Park Hyatt Hotel, Stamford Hotel, Shangri-La Hotel",These are four separate hotel brands.
"Park Hyatt Hotel, Melbourne",MULTIPLE,HIGH,"Park Hyatt Hotel, Melbourne",This is a hotel and its city.
"Park Hyatt Hotel, Melbourne; Intercontinental Hotel, Sydney; Emirates; Qantas",MULTIPLE,HIGH,"Park Hyatt Hotel, Melbourne, Intercontinental Hotel, Sydney, Emirates, Qantas","These are two hotels, two cities, and two airline brands."
"North Ryde, NSW",MULTIPLE,HIGH,"North Ryde, NSW","North Ryde is a suburb, NSW is a state. These are two distinct geographical entities."
"The Ranch, Marsfield",MULTIPLE,HIGH,"The Ranch, Marsfield","The Ranch is likely a business/venue, Marsfield is a suburb.  These are two separate entities."
"Colonial First State, ANZ, NAB, Adelaide Bendigo, Westpac",MULTIPLE,HIGH,"Colonial First State, ANZ, NAB, Adelaide Bendigo, Westpac",These are all separate financial institutions in Australia.
"Colonial First State, ANZ, NAB, Adelaide Bendigo",MULTIPLE,HIGH,"Colonial First State, ANZ, NAB, Adelaide Bendigo",These are all separate financial institutions in Australia.
"Johor, Malaysia",MULTIPLE,HIGH,"Johor, Malaysia",Johor is a state in Malaysia.  These are distinct geographical entities.
"NAB, Suncorp, Westpac",MULTIPLE,HIGH,"NAB, Suncorp, Westpac",These are all separate financial institutions in Australia.
"Commonwealth Bank, Suncorp",MULTIPLE,HIGH,"Commonwealth Bank, Suncorp",These are two separate financial institutions in Australia.
"Bendigo Bank, ING Bank, Macquarie Bank, Commonwealth Bank",MULTIPLE,HIGH,"Bendigo Bank, ING Bank, Macquarie Bank, Commonwealth Bank",These are all separate financial institutions in Australia.
"ASTRA, Qantas, Virgin Australia",MULTIPLE,HIGH,"ASTRA, Qantas, Virgin Australia",ASTRA is likely a separate entity from the airlines Qantas and Virgin Australia.
"AFL, Geelong Football Club",MULTIPLE,HIGH,"AFL, Geelong Football Club","AFL is the Australian Football League, a governing body; Geelong Football Club is a specific team."
"Emily's List, Victorian Women Lawyers",MULTIPLE,HIGH,"Emily's List, Victorian Women Lawyers",These are two distinct organizations.
"PwC, Melbourne Racing Club",MULTIPLE,HIGH,"PwC, Melbourne Racing Club",PwC is a professional services firm; Melbourne Racing Club is a sporting organization.
"Penna, Tasmania",MULTIPLE,HIGH,"Penna, Tasmania",Penna is a town in Tasmania.  These are two distinct geographical entities.
"Bendigo Bank, Westpac",MULTIPLE,HIGH,"Bendigo Bank, Westpac",These are two separate financial institutions in Australia.
"MLC, Australian Super",MULTIPLE,HIGH,"MLC, Australian Super",These are two separate superannuation providers in Australia.
"ASTRA, McKinnon Institute",MULTIPLE,HIGH,"ASTRA, McKinnon Institute",These appear to be two different organizations.
"Raffles Hotel management, Indonesia",MULTIPLE,HIGH,"Raffles Hotel management, Indonesia","Raffles Hotel management is a business, Indonesia is a country. These are separate entities."
"The Cambridge Hotel, Kununurra",MULTIPLE,HIGH,"The Cambridge Hotel, Kununurra","The Cambridge Hotel is a business, Kununurra is a town.  These are separate entities."
"Pete Steggall, Central Coast",MULTIPLE,HIGH,"Pete Steggall, Central Coast","Pete Steggall is a person, Central Coast is a region. These are separate entities."
"Daniel Skeffington, Bonnells Bay, Lake Macquarie City",MULTIPLE,HIGH,"Daniel Skeffington, Bonnells Bay, Lake Macquarie City",Daniel Skeffington is a person; Bonnells Bay and Lake Macquarie City are geographical locations.
"Brett O'Farrell, Hunter Sports Academy",MULTIPLE,HIGH,"Brett O'Farrell, Hunter Sports Academy",Brett O'Farrell is a person; Hunter Sports Academy is an organization.
"ANZ, credit union SA",MULTIPLE,HIGH,"ANZ, credit union SA",These are two different financial institutions.
"American Express, Westpac, latitude financial group",MULTIPLE,HIGH,"American Express, Westpac, latitude financial group",These are three separate financial institutions.
"Travancore, VIC",MULTIPLE,HIGH,"Travancore, VIC","Travancore is a suburb, VIC is a state. These are two distinct geographical entities."
"Darling Point, NSW",MULTIPLE,HIGH,"Darling Point, NSW","Darling Point is a suburb, NSW is a state. These are two distinct geographical entities."
"Great Mackerel Beach, NSW",MULTIPLE,HIGH,"Great Mackerel Beach, NSW","Great Mackerel Beach is a location, NSW is a state. These are two distinct geographical entities."
"Woollahra, NSW",MULTIPLE,HIGH,"Woollahra, NSW","Woollahra is a suburb, NSW is a state. These are two distinct geographical entities."
"Cambridgeshire, UK",MULTIPLE,HIGH,"Cambridgeshire, UK",Cambridgeshire is a county in the UK.  These are distinct geographical entities.
"First Direct, Barclays",MULTIPLE,HIGH,"First Direct, Barclays",These are two separate financial institutions.
"GIC, Standard Life",MULTIPLE,HIGH,"GIC, Standard Life",These are two separate financial institutions.
"Lurnea, NSW",MULTIPLE,HIGH,"Lurnea, NSW","Lurnea is a suburb, NSW is a state. These are two distinct geographical entities."
"Watson, ACT",MULTIPLE,HIGH,"Watson, ACT","Watson is a suburb, ACT is a territory. These are two distinct geographical entities."
"ASTRA Subscription, Qantas Chairmans Lounge, Virgin The Club",MULTIPLE,HIGH,"ASTRA Subscription, Qantas Chairmans Lounge, Virgin The Club",These are three separate entities related to subscriptions and lounge memberships.
"Liberal Party of Australia (SA Division), Norwood Football Club, Burnside Rotary Club, Campbelltown Rotary Club, Payneham RSL, North East Community Assistance Project",MULTIPLE,HIGH,"Liberal Party of Australia (SA Division), Norwood Football Club, Burnside Rotary Club, Campbelltown Rotary Club, Payneham RSL, North East Community Assistance Project",These are all separate organizations.
"Goulburn, NSW",MULTIPLE,HIGH,"Goulburn, NSW","Goulburn is a city, NSW is a state. These are two distinct geographical entities."
"Hamilton, VIC",MULTIPLE,HIGH,"Hamilton, VIC","Hamilton is a city, VIC is a state. These are two distinct geographical entities."
"Turner, ACT",MULTIPLE,HIGH,"Turner, ACT","Turner is a suburb, ACT is a territory. These are two distinct geographical entities."
"Willoughby, NSW",MULTIPLE,HIGH,"Willoughby, NSW","Willoughby is a suburb, NSW is a state. These are two distinct geographical entities."
"Queanbeyan, NSW",MULTIPLE,HIGH,"Queanbeyan, NSW","Queanbeyan is a city, NSW is a state. These are two distinct geographical entities."
"Warrnambool, VIC",MULTIPLE,HIGH,"Warrnambool, VIC","Warrnambool is a city, VIC is a state. These are two distinct geographical entities."
"Kew, VIC",MULTIPLE,HIGH,"Kew, VIC","Kew is a suburb, VIC is a state. These are two distinct geographical entities."
"Westpac Bank, Plan Lend Australia",MULTIPLE,HIGH,"Westpac Bank, Plan Lend Australia",These are two separate financial institutions.
"Qantas Chairmans Lounge, Virgin club Lounge, Foxtel",MULTIPLE,HIGH,"Qantas Chairmans Lounge, Virgin club Lounge, Foxtel",These are three distinct entities offering different services.
"The Charge d'Affaires a.i, James Carouso and Elizabeth Visbeek and the entire US Mission in Australia",MULTIPLE,HIGH,"The Charge d'Affaires a.i, James Carouso, Elizabeth Visbeek, the entire US Mission in Australia",This clearly lists three distinct individuals and a diplomatic mission as separate entities.
Sydney Taiwan Festival Inc and Mr Rui Lin Shu (Tea Banjie Farm),MULTIPLE,HIGH,"Sydney Taiwan Festival Inc, Mr Rui Lin Shu (Tea Banjie Farm)",Two distinct entities are mentioned: a festival and an individual with a business.
PFMZ Pearl Super Pty Ltd and PFMZ Pty Ltd,MULTIPLE,HIGH,"PFMZ Pearl Super Pty Ltd, PFMZ Pty Ltd","Two distinct, albeit related, Pty Ltd companies are named."
Real Estate Holdings of DIC Gillespie Superfund by Corporate Trustee and by Golden Boot Pty Ltd,MULTIPLE,HIGH,"Real Estate Holdings of DIC Gillespie Superfund by Corporate Trustee, Golden Boot Pty Ltd",Refers to two separate entities involved in real estate holdings.
Cameco and Chamber of Minerals And Energy,MULTIPLE,HIGH,"Cameco, Chamber of Minerals And Energy",Two separate organizations are listed.
"Screen Australia and Hon Christian Porter MP, Minister for Social Services",MULTIPLE,HIGH,"Screen Australia, Hon Christian Porter MP, Minister for Social Services",A government agency and a minister are clearly distinct entities.
Greg Hunt and Laurie Lawrence's Kids Alive Program,MULTIPLE,HIGH,"Greg Hunt, Laurie Lawrence's Kids Alive Program",An individual and a program are listed separately.
New South Wales Jewish Board of Deputies and the Executive Council of Australian Jewry Inc.,MULTIPLE,HIGH,"New South Wales Jewish Board of Deputies, the Executive Council of Australian Jewry Inc.",Two separate Jewish organizations.
Asia Pacific Leaders Malaria Alliance and the Global Fund,MULTIPLE,HIGH,"Asia Pacific Leaders Malaria Alliance, the Global Fund",Two distinct international organizations.
Department of Finance and the Japanese Ministry of Foreign Affairs,MULTIPLE,HIGH,"Department of Finance, the Japanese Ministry of Foreign Affairs",Two separate government bodies.
Westpac and Commonwealth Banks,MULTIPLE,HIGH,"Westpac, Commonwealth Banks",Two separate banks.
"Chamber of Minerals and Energy (WA), Minerals Council of Australia",MULTIPLE,HIGH,"Chamber of Minerals and Energy (WA), Minerals Council of Australia",Two separate organizations in the mining industry.
SCG and Sports Ground Trust,MULTIPLE,HIGH,"SCG, Sports Ground Trust","SCG refers to the Sydney Cricket Ground, a separate entity from the trust."
Prudential and New York Life,MULTIPLE,HIGH,"Prudential, New York Life",Two separate insurance companies.
Australian and Indian Cricket teams,MULTIPLE,HIGH,"Australian Cricket team, Indian Cricket team",Two separate cricket teams.
QANTAS AND VIRGIN,MULTIPLE,HIGH,"QANTAS, VIRGIN",Two separate airline companies.
Suncorp and IAG,MULTIPLE,HIGH,"Suncorp, IAG",Two separate Australian insurance companies.
Responsible Wood and Australian Forest Products Association,MULTIPLE,HIGH,"Responsible Wood, Australian Forest Products Association",Two distinct industry associations.
German government/ Goethe Institut,MULTIPLE,HIGH,"German government, Goethe Institut","Clearly two distinct entities: the German government and the Goethe Institut, a cultural institution."
Sealink/Coopers,MULTIPLE,HIGH,"Sealink, Coopers",Context shows these are two separate companies involved in a joint event. Sealink is a transport company and Coopers is a brewery.
Cth Bank / St George / ING Direct,MULTIPLE,HIGH,"Cth Bank, St George, ING Direct",Three separate Australian banks listed.
NATO/SHAPE,MULTIPLE,HIGH,"NATO, SHAPE",NATO (North Atlantic Treaty Organization) and SHAPE (Supreme Headquarters Allied Powers Europe) are distinct military organizations.
Asteron Life (Perth) / BT Financial Group (Sydney),MULTIPLE,HIGH,"Asteron Life (Perth), BT Financial Group (Sydney)","Two different financial institutions, clearly indicated by their locations."
Australia-India Institute /Lowy Institute/Observer Research Foundation,MULTIPLE,HIGH,"Australia-India Institute, Lowy Institute, Observer Research Foundation",Three separate think tanks/research institutions.
Etihad Airways / HRG Australia Pty Ltd,MULTIPLE,HIGH,"Etihad Airways, HRG Australia Pty Ltd",An airline and a travel management company.
St George Bank / Goodwin Chivas,MULTIPLE,HIGH,"St George Bank, Goodwin Chivas","A bank and another organization (likely a business), both acting as co-sponsors."
Citibank/Amex/Diners/GE,MULTIPLE,HIGH,"Citibank, Amex, Diners, GE",Four different financial services brands.
Commonwealth Parliamentary Association/World Bank Institute,MULTIPLE,HIGH,"Commonwealth Parliamentary Association, World Bank Institute",Two distinct international organizations.
Lions Clubs / Rotary Clubs,MULTIPLE,HIGH,"Lions Clubs, Rotary Clubs",Two distinct international service organizations.
Pericles Unit Trust/Elysium Pty Ltd,MULTIPLE,HIGH,"Pericles Unit Trust, Elysium Pty Ltd",A unit trust and a Pty Ltd company.
MYSTATE / COMMONWEALTH,MULTIPLE,HIGH,"MYSTATE, COMMONWEALTH","Likely refers to MyState Bank and the Commonwealth Government, though more context would be needed to ensure this isn't a single internal account naming convention."
BC Iron/AMEC,MULTIPLE,HIGH,"BC Iron, AMEC",Two separate companies involved in a joint project.
Rugby Leagues/Minister for the Arts,MULTIPLE,HIGH,"Rugby Leagues, Minister for the Arts",Clearly two distinct entities: a sporting league and a government minister.
Australian Government/Yothu Yindi Foundation,MULTIPLE,HIGH,"Australian Government, Yothu Yindi Foundation",Two separate entities: the Australian Government and a specific foundation.
Spouse/partner,MULTIPLE,HIGH,"Spouse, partner",Two distinct individuals.
Bank of Queensland/VISA,MULTIPLE,HIGH,"Bank of Queensland, VISA",Two separate entities: a bank and a payment network.
Great Southern Bank/CUA,MULTIPLE,HIGH,"Great Southern Bank, CUA",Two separate financial institutions.
Solomon Islands/Save the Children,MULTIPLE,HIGH,"Solomon Islands, Save the Children",A sovereign nation and a non-governmental organization.
Australian Political Exchange Council/Ministry of Foreign Affairs Japan,MULTIPLE,HIGH,"Australian Political Exchange Council, Ministry of Foreign Affairs Japan",Two distinct organizations from different countries.
FFA / FIFA,MULTIPLE,HIGH,"FFA, FIFA",Two separate football governing bodies.
Westpac and ANZ,MULTIPLE,HIGH,"Westpac, ANZ",Westpac and ANZ are two distinct major Australian banks.
Robert International Pty Ltd and Robert Property Portfolio Pty Ltd,MULTIPLE,HIGH,"Robert International Pty Ltd, Robert Property Portfolio Pty Ltd",The context clearly indicates two separate Pty Ltd companies.
Tennis Australia and Optus,MULTIPLE,HIGH,"Tennis Australia, Optus","Tennis Australia is the governing body for tennis in Australia, and Optus is a telecommunications company."
"Carlton Football Club, MCC, RACV, Liberal Party of Australia (Victorian Division), Pontiac Car Club of Australia, Union-University and Schools Club, Sydney, Melbourne University, Liberal Club",MULTIPLE,HIGH,"Carlton Football Club, MCC, RACV, Liberal Party of Australia (Victorian Division), Pontiac Car Club of Australia, Union-University, Schools Club, Sydney, Melbourne University, Liberal Club",This is a list of several distinct organizations and clubs.
"Australian Labor Party (QLD), Community and Public Sector Union (CPSU)",MULTIPLE,HIGH,"Australian Labor Party (QLD), Community and Public Sector Union (CPSU)",These are two distinct political and union organizations.
"RDP Group, FTI Group and Dalcross",MULTIPLE,HIGH,"RDP Group, FTI Group, Dalcross",Three separate organizations are listed.
Victoria Racing Club and Emirates,MULTIPLE,HIGH,"Victoria Racing Club, Emirates","The Victoria Racing Club is an Australian organization, and Emirates is an airline."
"Richard and Phillip Walsh, Walsh's village pharmacy",MULTIPLE,HIGH,"Richard, Phillip Walsh, Walsh's village pharmacy",Two individuals and their pharmacy are listed.
King Willem-Alexander and Queens Maxima,MULTIPLE,HIGH,"King Willem-Alexander, Queens Maxima",These are two separate individuals.
NSW National Servicemen's Assn. and affiliates Inc - Gosford City Sub Branch.,MULTIPLE,HIGH,"NSW National Servicemen's Assn., affiliates Inc - Gosford City Sub Branch.",The context suggests that this is a main organization with a sub-branch.
Tabcorp and Emirates,MULTIPLE,HIGH,"Tabcorp, Emirates","Tabcorp is an Australian company, and Emirates is an airline."
Westpac and NAB,MULTIPLE,HIGH,"Westpac, NAB",Westpac and NAB are two distinct major Australian banks.
"Fellow, Australian Academy of Health and Medical Sciences",MULTIPLE,HIGH,"Fellow, Australian Academy of Health and Medical Sciences",This refers to a person (Fellow) and an organization.
Save the Children & Bill and Melinda Gates Foundation,MULTIPLE,HIGH,"Save the Children, Bill and Melinda Gates Foundation",These are two separate organizations.
Self and Spouse,MULTIPLE,HIGH,"Self, Spouse",These refer to two distinct individuals.
Australian and New Zealand Bar Associations,MULTIPLE,HIGH,"Australian Bar Associations, New Zealand Bar Associations",These are distinct bar associations representing different countries.
Newman College Council and Newman College Scholarship Fund,MULTIPLE,HIGH,"Newman College Council, Newman College Scholarship Fund",These are likely two separate entities within the same college.
Qantas Chairman's Lounge and Virgin Club,MULTIPLE,HIGH,"Qantas Chairman's Lounge, Virgin Club",These are two separate membership programs offered by different airlines.
University of New England and the Earle Page College,MULTIPLE,HIGH,"University of New England, the Earle Page College",The University of New England is a university; the Earle Page College is likely a college affiliated with it.
L.C. and S.A. Buchholz,MULTIPLE,HIGH,"L.C., S.A. Buchholz",These appear to be two individuals.
"NAB, ING and HSBC(UK)",MULTIPLE,HIGH,"NAB, ING, HSBC(UK)",These are three distinct banks.
"South Australian Department of Health and Ageing, TAFE",MULTIPLE,HIGH,"South Australian Department of Health and Ageing, TAFE","The South Australian Department of Health and Ageing is a government department, while TAFE is a separate educational institution."
Akas Pty Ltd (trustee company for Corrie-Smith Family Trust and Hannan Trust No 3),MULTIPLE,HIGH,"Akas Pty Ltd (trustee company for Corrie-Smith Family Trust, Hannan Trust No 3",Akas Pty Ltd is a trustee company for two separate trusts.
"Mercer, MilSuper and Australian Super",MULTIPLE,HIGH,"Mercer, MilSuper, Australian Super",These are three separate superannuation organizations.
MM and RA Coulton,MULTIPLE,HIGH,"MM, RA Coulton",These appear to be two individuals.
News Corp Australia and Foxtel,MULTIPLE,HIGH,"News Corp Australia, Foxtel","News Corp Australia and Foxtel are two distinct media companies, though related."
Bendigo and Adelaide Bank and Westpac,MULTIPLE,HIGH,"Bendigo and Adelaide Bank, Westpac",Bendigo and Adelaide Bank and Westpac are two distinct banks.
"Commonwealth Bank of Australia, Bendigo and Adelaide Bank and Westpac",MULTIPLE,HIGH,"Commonwealth Bank of Australia, Bendigo and Adelaide Bank, Westpac",These are three distinct banks.
ANZ and NAB,MULTIPLE,HIGH,"ANZ, NAB",ANZ and NAB are two distinct major Australian banks.
"Virgin, Qantas",MULTIPLE,HIGH,"Virgin, Qantas",Virgin and Qantas are two separate and well-known Australian airlines.  The context examples clearly indicate reference to both.
"ALP, United Services Union",MULTIPLE,HIGH,"ALP, United Services Union",ALP (Australian Labor Party) and the United Services Union are two distinct Australian organizations.
"Perpetual, MLC, Vanguard",MULTIPLE,HIGH,"Perpetual, MLC, Vanguard","Perpetual, MLC, and Vanguard are separate financial services organizations operating in Australia."
"Australian Rugby League Commission, National Rugby League",MULTIPLE,HIGH,"Australian Rugby League Commission, National Rugby League","These are two distinct, albeit related, organizations governing rugby league in Australia."
"Peter King (Westpac), Andrew Abdo (NRL)",MULTIPLE,HIGH,"Peter King (Westpac), Andrew Abdo (NRL)","Two individuals are named, each affiliated with a different organization (Westpac and NRL)."
"CBA, ANZ, Credit Suisse",MULTIPLE,HIGH,"CBA, ANZ, Credit Suisse","CBA (Commonwealth Bank of Australia), ANZ (Australia and New Zealand Banking Group), and Credit Suisse are separate banks."
"Qantas, The Club, Virgin",MULTIPLE,HIGH,"Qantas, The Club, Virgin","Qantas and Virgin are airlines, and 'The Club' likely refers to an airport lounge access program, making this multiple entities."
"Ray Purcell, Grow Hope Foundation",MULTIPLE,HIGH,"Ray Purcell, Grow Hope Foundation","Ray Purcell is an individual, and Grow Hope Foundation is a separate organization."
"Professor Ben Saul, The University of Sydney",MULTIPLE,HIGH,"Professor Ben Saul, The University of Sydney","Professor Ben Saul is an individual, and The University of Sydney is a separate entity."
"QBank, NAB, CBA, Westpac",MULTIPLE,HIGH,"QBank, NAB, CBA, Westpac",These are all separate Australian banks.
"ANZ, QBank, NAB, Westpac",MULTIPLE,HIGH,"ANZ, QBank, NAB, Westpac",These are all separate Australian banks.
"Country Mile Superannuation Pty Ltd, ACGee Pty Ltd",MULTIPLE,HIGH,"Country Mile Superannuation Pty Ltd, ACGee Pty Ltd",These are two separate Pty Ltd companies.
"Commonwealth Bank, Liberty Financial",MULTIPLE,HIGH,"Commonwealth Bank, Liberty Financial",These are two separate financial institutions.
"ALI Group, MSBS, Australian Super Fund",MULTIPLE,HIGH,"ALI Group, MSBS, Australian Super Fund",These appear to be three separate financial services entities.
"ALI Group, Australian Super Fund",MULTIPLE,HIGH,"ALI Group, Australian Super Fund",These are two separate financial services entities.
